Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
FUTCOM,08 Dec 2016,805887,1976700.77,-
FUTCOM,09 Dec 2016,643693,1649564.04,-
FUTCOM,12 Dec 2016,458916,1183334.82,-
FUTCOM,13 Dec 2016,677350,1731936.35,-
FUTCOM,14 Dec 2016,723553,1830197.77,-
FUTCOM,15 Dec 2016,917908,2513488.52,-
FUTCOM,16 Dec 2016,752514,1919524.1,-
FUTCOM,19 Dec 2016,693528,1758480.71,-
FUTCOM,20 Dec 2016,657980,1731352.52,-
FUTCOM,21 Dec 2016,645996,1666883.76,-
FUTCOM,22 Dec 2016,721499,1881384.61,-
FUTCOM,23 Dec 2016,582797,1461877.05,-
FUTCOM,26 Dec 2016,201898,508778.5,-
FUTCOM,27 Dec 2016,536132,1416405.55,-
FUTCOM,28 Dec 2016,686004,1799517.36,-
FUTCOM,29 Dec 2016,636135,1682993.34,-
FUTCOM,30 Dec 2016,557393,1529226.24,-
FUTCOM,01 Jan 2015,95599,272176.19,-
FUTCOM,02 Jan 2015,721807,2381102.6,-
FUTCOM,05 Jan 2015,765187,2402462.26,-
FUTCOM,06 Jan 2015,890915,2579294.89,-
FUTCOM,07 Jan 2015,923574,2524200.49,-
FUTCOM,08 Jan 2015,796891,2216343.54,-
FUTCOM,09 Jan 2015,748330,2050101.73,-
FUTCOM,12 Jan 2015,710103,1986448.46,-
FUTCOM,13 Jan 2015,950545,2561995.74,-
FUTCOM,14 Jan 2015,1065414,2928693.02,-
FUTCOM,15 Jan 2015,1205604,3551672.14,-
FUTCOM,16 Jan 2015,973375,2722784.38,-
FUTCOM,19 Jan 2015,572417,1567020.28,-
FUTCOM,20 Jan 2015,819499,2456618.16,-
FUTCOM,21 Jan 2015,916637,2727419.01,-
FUTCOM,22 Jan 2015,973555,2780948.24,-
FUTCOM,23 Jan 2015,776800,2061833.55,-
FUTCOM,27 Jan 2015,786388,2244275.95,-
FUTCOM,28 Jan 2015,651897,1822300.08,-
FUTCOM,29 Jan 2015,880960,2686060.48,-
FUTCOM,30 Jan 2015,833917,2545213.65,-
FUTCOM,02 Feb 2015,908016,2273908.32,-
FUTCOM,03 Feb 2015,947207,2625001.31,-
FUTCOM,04 Feb 2015,952501,2482862.37,-
FUTCOM,05 Feb 2015,1119458,2868725.91,-
FUTCOM,06 Feb 2015,959243,2601748.15,-
FUTCOM,09 Feb 2015,731890,1852393.35,-
FUTCOM,10 Feb 2015,763136,1966158.55,-
FUTCOM,11 Feb 2015,858799,2187565.65,-
FUTCOM,12 Feb 2015,919675,2381895.0,-
FUTCOM,13 Feb 2015,817112,2125392.73,-
FUTCOM,16 Feb 2015,525304,1311694.39,-
FUTCOM,17 Feb 2015,660737,1779004.17,-
FUTCOM,18 Feb 2015,845530,2298973.96,-
FUTCOM,19 Feb 2015,990972,2508068.91,-
FUTCOM,20 Feb 2015,824275,2184103.71,-
FUTCOM,23 Feb 2015,849761,2292066.71,-
FUTCOM,24 Feb 2015,883697,2409313.11,-
FUTCOM,25 Feb 2015,798820,2126237.05,-
FUTCOM,26 Feb 2015,868756,2230479.37,-
FUTCOM,27 Feb 2015,788224,2014282.07,-
FUTCOM,28 Feb 2015,151132,673167.21,-
FUTCOM,02 Mar 2015,720828,1906706.25,-
FUTCOM,03 Mar 2015,758673,1978509.9,-
FUTCOM,04 Mar 2015,774931,2020270.89,-
FUTCOM,05 Mar 2015,746789,1902575.18,-
FUTCOM,06 Mar 2015,478275,1389671.92,-
FUTCOM,09 Mar 2015,697623,1780573.72,-
FUTCOM,10 Mar 2015,748561,2155842.38,-
FUTCOM,11 Mar 2015,800698,2182032.92,-
FUTCOM,12 Mar 2015,810794,2248257.34,-
FUTCOM,13 Mar 2015,776178,2063208.99,-
FUTCOM,16 Mar 2015,764538,1851469.35,-
FUTCOM,17 Mar 2015,855238,2245286.09,-
FUTCOM,18 Mar 2015,809654,2058111.8,-
FUTCOM,19 Mar 2015,1013700,2537505.5,-
FUTCOM,20 Mar 2015,954911,2523242.08,-
FUTCOM,23 Mar 2015,773095,1937853.74,-
FUTCOM,24 Mar 2015,872484,2214378.08,-
FUTCOM,25 Mar 2015,841815,2172886.85,-
FUTCOM,26 Mar 2015,1004709,2706120.84,-
FUTCOM,27 Mar 2015,775385,2120186.5,-
FUTCOM,30 Mar 2015,803412,2126571.05,-
FUTCOM,31 Mar 2015,839901,2348725.44,-
FUTCOM,01 Apr 2015,880922,2282497.62,-
FUTCOM,02 Apr 2015,551411,1376483.56,-
FUTCOM,06 Apr 2015,802434,2051631.67,-
FUTCOM,07 Apr 2015,781511,1916291.18,-
FUTCOM,08 Apr 2015,772293,1959621.16,-
FUTCOM,09 Apr 2015,772991,2003579.14,-
FUTCOM,10 Apr 2015,797699,2097357.5,-
FUTCOM,13 Apr 2015,778104,1997466.17,-
FUTCOM,14 Apr 2015,509317,1366111.88,-
FUTCOM,15 Apr 2015,796549,2133500.15,-
FUTCOM,16 Apr 2015,912732,2404638.48,-
FUTCOM,17 Apr 2015,774570,2086340.28,-
FUTCOM,20 Apr 2015,864543,2315968.92,-
FUTCOM,21 Apr 2015,741712,2002070.95,-
FUTCOM,22 Apr 2015,777544,2208300.8,-
FUTCOM,23 Apr 2015,813933,2222918.46,-
FUTCOM,24 Apr 2015,820456,2347123.19,-
FUTCOM,27 Apr 2015,811202,2327393.03,-
FUTCOM,28 Apr 2015,726474,2114326.28,-
FUTCOM,29 Apr 2015,765258,2211283.78,-
FUTCOM,30 Apr 2015,1017181,3080918.75,-
FUTCOM,01 May 2015,402428,1224027.21,-
FUTCOM,04 May 2015,440785,1263897.97,-
FUTCOM,05 May 2015,763750,2290092.61,-
FUTCOM,06 May 2015,879338,2600501.76,-
FUTCOM,07 May 2015,857963,2536167.04,-
FUTCOM,08 May 2015,862420,2479004.55,-
FUTCOM,11 May 2015,740559,2209537.6,-
FUTCOM,12 May 2015,902324,2856380.6,-
FUTCOM,13 May 2015,977578,3152098.66,-
FUTCOM,14 May 2015,812819,2478302.8,-
FUTCOM,15 May 2015,687521,2073045.48,-
FUTCOM,18 May 2015,703857,2059204.84,-
FUTCOM,19 May 2015,835790,2601591.85,-
FUTCOM,20 May 2015,784121,2330128.06,-
FUTCOM,21 May 2015,692364,2047936.31,-
FUTCOM,22 May 2015,641594,1889541.37,-
FUTCOM,25 May 2015,397170,1083917.22,-
FUTCOM,26 May 2015,769877,2273049.47,-
FUTCOM,27 May 2015,688876,1962793.87,-
FUTCOM,28 May 2015,731145,2150304.57,-
FUTCOM,29 May 2015,761901,2193661.34,-
FUTCOM,01 Jun 2015,726097,2142157.54,-
FUTCOM,02 Jun 2015,702925,1948017.01,-
FUTCOM,03 Jun 2015,732597,2047002.42,-
FUTCOM,04 Jun 2015,773390,2217653.06,-
FUTCOM,05 Jun 2015,786038,2204010.26,-
FUTCOM,08 Jun 2015,619301,1680513.49,-
FUTCOM,09 Jun 2015,725370,2018062.86,-
FUTCOM,10 Jun 2015,791219,2182197.86,-
FUTCOM,11 Jun 2015,727305,2066603.07,-
FUTCOM,12 Jun 2015,589118,1641912.92,-
FUTCOM,15 Jun 2015,705052,2039828.08,-
FUTCOM,16 Jun 2015,662839,1842864.35,-
FUTCOM,17 Jun 2015,758002,2015013.82,-
FUTCOM,18 Jun 2015,841115,2387049.94,-
FUTCOM,19 Jun 2015,690046,1882326.49,-
FUTCOM,22 Jun 2015,637723,1827735.01,-
FUTCOM,23 Jun 2015,857540,2386151.09,-
FUTCOM,24 Jun 2015,774876,2109041.33,-
FUTCOM,25 Jun 2015,664690,1777680.19,-
FUTCOM,26 Jun 2015,713236,2029719.01,-
FUTCOM,29 Jun 2015,882818,2353006.51,-
FUTCOM,30 Jun 2015,1027647,2728168.38,-
FUTCOM,01 Jul 2015,775027,2067937.77,-
FUTCOM,02 Jul 2015,701415,1965639.4,-
FUTCOM,03 Jul 2015,502124,1307135.99,-
FUTCOM,06 Jul 2015,837090,2105491.07,-
FUTCOM,07 Jul 2015,1284051,3256382.02,-
FUTCOM,08 Jul 2015,1172676,2948491.99,-
FUTCOM,09 Jul 2015,947059,2401541.4,-
FUTCOM,10 Jul 2015,777648,1908264.46,-
FUTCOM,13 Jul 2015,931976,2245464.97,-
FUTCOM,14 Jul 2015,871853,2100421.37,-
FUTCOM,15 Jul 2015,894346,2254938.09,-
FUTCOM,16 Jul 2015,769073,1924019.68,-
FUTCOM,17 Jul 2015,702898,1821795.05,-
FUTCOM,20 Jul 2015,831691,2281363.29,-
FUTCOM,21 Jul 2015,699640,1894288.15,-
FUTCOM,22 Jul 2015,784272,2180165.24,-
FUTCOM,23 Jul 2015,745306,2039003.89,-
FUTCOM,24 Jul 2015,776563,2226041.79,-
FUTCOM,27 Jul 2015,757870,2182141.41,-
FUTCOM,28 Jul 2015,809917,2112943.61,-
FUTCOM,29 Jul 2015,854114,2172827.83,-
FUTCOM,30 Jul 2015,803400,2241388.55,-
FUTCOM,31 Jul 2015,939777,2536753.98,-
FUTCOM,03 Aug 2015,823880,1901037.38,-
FUTCOM,04 Aug 2015,695524,1735759.64,-
FUTCOM,05 Aug 2015,844894,1953443.39,-
FUTCOM,06 Aug 2015,753645,1798837.4,-
FUTCOM,07 Aug 2015,879804,2297646.4,-
FUTCOM,10 Aug 2015,922875,2277356.29,-
FUTCOM,11 Aug 2015,1017527,2571785.1,-
FUTCOM,12 Aug 2015,1152324,2857003.83,-
FUTCOM,13 Aug 2015,843642,2072657.98,-
FUTCOM,14 Aug 2015,751850,1873618.84,-
FUTCOM,17 Aug 2015,714439,1664322.72,-
FUTCOM,18 Aug 2015,885177,2268793.63,-
FUTCOM,19 Aug 2015,1007837,2479758.35,-
FUTCOM,20 Aug 2015,943761,2491529.2,-
FUTCOM,21 Aug 2015,1022682,2825175.12,-
FUTCOM,24 Aug 2015,1332135,3309992.19,-
FUTCOM,25 Aug 2015,1070066,2710171.75,-
FUTCOM,26 Aug 2015,1089527,2871548.07,-
FUTCOM,27 Aug 2015,1161254,2710461.8,-
FUTCOM,28 Aug 2015,1302595,2919248.88,-
FUTCOM,31 Aug 2015,1002418,2233128.34,-
FUTCOM,01 Sep 2015,1177717,2757222.19,-
FUTCOM,02 Sep 2015,1219176,2769473.22,-
FUTCOM,03 Sep 2015,1130011,2602697.7,-
FUTCOM,04 Sep 2015,939247,2301084.86,-
FUTCOM,07 Sep 2015,628911,1411458.07,-
FUTCOM,08 Sep 2015,1087295,2412712.07,-
FUTCOM,09 Sep 2015,900430,2106411.44,-
FUTCOM,10 Sep 2015,1060454,2442289.81,-
FUTCOM,11 Sep 2015,859458,2008555.05,-
FUTCOM,14 Sep 2015,759087,1756210.11,-
FUTCOM,15 Sep 2015,775759,1878748.18,-
FUTCOM,16 Sep 2015,1018933,2518980.08,-
FUTCOM,17 Sep 2015,545007,1229854.94,-
FUTCOM,18 Sep 2015,1037356,2528834.75,-
FUTCOM,21 Sep 2015,815347,1921778.98,-
FUTCOM,22 Sep 2015,882858,2290662.57,-
FUTCOM,23 Sep 2015,944558,2231688.95,-
FUTCOM,24 Sep 2015,965321,2440584.36,-
FUTCOM,25 Sep 2015,557392,1355003.62,-
FUTCOM,28 Sep 2015,876632,2222470.37,-
FUTCOM,29 Sep 2015,821994,2167484.54,-
FUTCOM,30 Sep 2015,1086759,2897316.27,-
FUTCOM,01 Oct 2015,1050606,2366549.66,-
FUTCOM,05 Oct 2015,1033172,2503155.68,-
FUTCOM,06 Oct 2015,1003931,2441098.34,-
FUTCOM,07 Oct 2015,1088060,2627454.08,-
FUTCOM,08 Oct 2015,1000597,2374800.77,-
FUTCOM,09 Oct 2015,1255318,3121504.2,-
FUTCOM,12 Oct 2015,966731,2388466.06,-
FUTCOM,13 Oct 2015,1004937,2401245.86,-
FUTCOM,14 Oct 2015,944619,2379293.54,-
FUTCOM,15 Oct 2015,971633,2475362.86,-
FUTCOM,16 Oct 2015,824282,1882197.25,-
FUTCOM,19 Oct 2015,811588,1865922.69,-
FUTCOM,20 Oct 2015,755865,1926874.5,-
FUTCOM,21 Oct 2015,828595,1968947.37,-
FUTCOM,22 Oct 2015,496445,1173092.99,-
FUTCOM,23 Oct 2015,980850,2447044.0,-
FUTCOM,26 Oct 2015,743752,1716591.92,-
FUTCOM,27 Oct 2015,743551,1665073.82,-
FUTCOM,28 Oct 2015,1032262,2387093.22,-
FUTCOM,29 Oct 2015,1073915,2617700.73,-
FUTCOM,30 Oct 2015,922996,2136800.58,-
FUTCOM,02 Nov 2015,758868,1728607.08,-
FUTCOM,03 Nov 2015,884481,2280601.68,-
FUTCOM,04 Nov 2015,968972,2258918.63,-
FUTCOM,05 Nov 2015,833997,2040680.65,-
FUTCOM,06 Nov 2015,831025,2141504.65,-
FUTCOM,09 Nov 2015,687485,1601253.41,-
FUTCOM,10 Nov 2015,754256,1760250.01,-
FUTCOM,11 Nov 2015,143829,321292.69,-
FUTCOM,12 Nov 2015,587692,1382249.41,-
FUTCOM,13 Nov 2015,701488,1520559.44,-
FUTCOM,16 Nov 2015,921919,2100464.25,-
FUTCOM,17 Nov 2015,974954,2244757.13,-
FUTCOM,18 Nov 2015,920876,1964966.47,-
FUTCOM,19 Nov 2015,954614,2179045.99,-
FUTCOM,20 Nov 2015,1005139,2375293.19,-
FUTCOM,23 Nov 2015,1121054,2365994.77,-
FUTCOM,24 Nov 2015,1059425,2282008.18,-
FUTCOM,25 Nov 2015,618999,1298065.91,-
FUTCOM,26 Nov 2015,811211,1813641.45,-
FUTCOM,27 Nov 2015,874301,2189173.22,-
FUTCOM,30 Nov 2015,987454,2318038.75,-
FUTCOM,01 Dec 2015,903536,2125889.58,-
FUTCOM,02 Dec 2015,881802,2021223.52,-
FUTCOM,03 Dec 2015,982772,2237652.08,-
FUTCOM,04 Dec 2015,1128562,2700356.94,-
FUTCOM,07 Dec 2015,824556,1712447.22,-
FUTCOM,08 Dec 2015,1002834,2111332.72,-
FUTCOM,09 Dec 2015,1044797,2248650.69,-
FUTCOM,10 Dec 2015,813527,1680576.61,-
FUTCOM,11 Dec 2015,963373,2198228.35,-
FUTCOM,14 Dec 2015,994087,1998026.69,-
FUTCOM,15 Dec 2015,1019944,2115408.98,-
FUTCOM,16 Dec 2015,1028912,2185366.18,-
FUTCOM,17 Dec 2015,1023144,2345579.42,-
FUTCOM,18 Dec 2015,1131309,2397695.93,-
FUTCOM,21 Dec 2015,888046,1981627.31,-
FUTCOM,22 Dec 2015,777658,1688374.41,-
FUTCOM,23 Dec 2015,874217,1853295.08,-
FUTCOM,24 Dec 2015,491015,1003571.46,-
FUTCOM,28 Dec 2015,703862,1464569.42,-
FUTCOM,29 Dec 2015,846437,1876963.97,-
FUTCOM,30 Dec 2015,784329,1784026.52,-
FUTCOM,31 Dec 2015,787343,1630975.77,-
FUTIDX,02 Jan 2023,200,1543.33,-
OPTFUT,02 Jan 2023,116139,792595.74,-
FUTCOM,02 Jan 2023,95359,404777.18,-
FUTIDX,03 Jan 2023,1289,10040.61,-
OPTFUT,03 Jan 2023,624072,4255489.69,-
FUTCOM,03 Jan 2023,545547,2237249.56,-
FUTCOM,04 Jan 2023,529205,2287546.68,-
FUTIDX,04 Jan 2023,1487,11609.59,-
OPTFUT,04 Jan 2023,618790,4023270.16,-
OPTFUT,05 Jan 2023,602437,3817488.27,-
FUTIDX,05 Jan 2023,1443,11138.99,-
FUTCOM,05 Jan 2023,550234,2361252.73,-
FUTCOM,06 Jan 2023,475892,2045686.98,-
OPTFUT,06 Jan 2023,688782,4294339.04,-
FUTIDX,06 Jan 2023,965,7456.92,-
OPTFUT,09 Jan 2023,719529,4504587.0,-
FUTIDX,09 Jan 2023,714,5567.19,-
FUTCOM,09 Jan 2023,415289,1904711.81,-
FUTIDX,10 Jan 2023,586,4541.25,-
OPTFUT,10 Jan 2023,761822,4601979.1,-
FUTCOM,10 Jan 2023,399602,1708258.99,-
FUTCOM,11 Jan 2023,504759,2156032.17,-
OPTFUT,11 Jan 2023,890935,5400941.68,-
FUTIDX,11 Jan 2023,768,5949.63,-
FUTCOM,12 Jan 2023,530935,2184113.5,-
OPTFUT,12 Jan 2023,862525,5341917.99,-
FUTIDX,12 Jan 2023,1101,8539.96,-
FUTCOM,13 Jan 2023,510304,2116798.79,-
OPTFUT,13 Jan 2023,921995,5867317.29,-
FUTIDX,13 Jan 2023,1171,9124.46,-
OPTFUT,16 Jan 2023,854844,5425949.37,-
FUTCOM,16 Jan 2023,342875,1483407.59,-
FUTIDX,16 Jan 2023,501,3936.87,-
FUTIDX,17 Jan 2023,575,4506.54,-
OPTFUT,17 Jan 2023,665909,4080546.66,-
FUTCOM,17 Jan 2023,391670,1773022.99,-
FUTCOM,18 Jan 2023,530747,2328824.19,-
OPTFUT,18 Jan 2023,449247,2486558.65,-
FUTIDX,18 Jan 2023,1091,8538.33,-
OPTFUT,19 Jan 2023,444591,2421600.16,-
FUTIDX,19 Jan 2023,793,6185.46,-
FUTCOM,19 Jan 2023,486839,2081028.38,-
FUTIDX,20 Jan 2023,939,7367.22,-
OPTFUT,20 Jan 2023,529951,2802002.21,-
FUTCOM,20 Jan 2023,431599,1891836.84,-
FUTIDX,23 Jan 2023,1216,9515.28,-
OPTFUT,23 Jan 2023,496365,2767611.31,-
FUTCOM,23 Jan 2023,715359,2704250.48,-
FUTIDX,24 Jan 2023,1337,10516.41,-
OPTFUT,24 Jan 2023,396279,2691278.42,-
FUTCOM,24 Jan 2023,540506,2336699.65,-
FUTCOM,25 Jan 2023,411003,1822628.52,-
FUTIDX,25 Jan 2023,893,7015.49,-
OPTFUT,25 Jan 2023,361431,2256558.4,-
FUTIDX,27 Jan 2023,611,4794.58,-
OPTFUT,27 Jan 2023,478720,2932377.87,-
FUTCOM,27 Jan 2023,429470,2307765.3,-
FUTIDX,30 Jan 2023,424,3324.84,-
FUTCOM,30 Jan 2023,323039,1838564.22,-
OPTFUT,30 Jan 2023,495489,3057063.65,-
FUTCOM,31 Jan 2023,486207,2129436.83,-
OPTFUT,31 Jan 2023,491813,3104217.94,-
FUTIDX,31 Jan 2023,795,6212.86,-
FUTIDX,01 Feb 2023,1186,9397.85,-
OPTFUT,01 Feb 2023,594868,3749593.35,-
FUTCOM,01 Feb 2023,481494,2368021.76,-
FUTIDX,02 Feb 2023,1280,10286.14,-
FUTCOM,02 Feb 2023,761994,2851233.37,-
OPTFUT,02 Feb 2023,600564,3702053.54,-
FUTCOM,03 Feb 2023,776252,3080045.0,-
OPTFUT,03 Feb 2023,890403,5525607.76,-
FUTIDX,03 Feb 2023,1441,11319.69,-
FUTCOM,06 Feb 2023,429904,1782202.89,-
FUTIDX,06 Feb 2023,781,6092.12,-
OPTFUT,06 Feb 2023,776590,4593503.42,-
FUTIDX,07 Feb 2023,913,7132.65,-
OPTFUT,07 Feb 2023,906695,5405360.71,-
FUTCOM,07 Feb 2023,443895,2002293.38,-
FUTCOM,08 Feb 2023,390860,1765897.27,-
FUTIDX,08 Feb 2023,658,5144.91,-
OPTFUT,08 Feb 2023,870063,5139365.13,-
FUTCOM,09 Feb 2023,460250,2002420.87,-
FUTIDX,09 Feb 2023,773,6033.99,-
OPTFUT,09 Feb 2023,940168,5624584.73,-
FUTIDX,10 Feb 2023,692,5356.43,-
FUTCOM,10 Feb 2023,449788,2101570.17,-
OPTFUT,10 Feb 2023,1137573,7178312.72,-
OPTFUT,13 Feb 2023,1164473,7081940.1,-
FUTIDX,13 Feb 2023,483,3733.33,-
FUTCOM,13 Feb 2023,399755,1796728.56,-
FUTCOM,14 Feb 2023,576727,2634134.66,-
FUTIDX,14 Feb 2023,1187,9173.42,-
OPTFUT,14 Feb 2023,1540268,9634126.02,-
FUTIDX,15 Feb 2023,802,6150.54,-
FUTCOM,15 Feb 2023,446373,2130805.3,-
OPTFUT,15 Feb 2023,850097,4920754.1,-
FUTCOM,16 Feb 2023,452898,1998055.78,-
FUTIDX,16 Feb 2023,766,5859.65,-
OPTFUT,16 Feb 2023,519572,2568115.96,-
FUTCOM,17 Feb 2023,554292,2211197.47,-
OPTFUT,17 Feb 2023,645769,3283166.56,-
FUTIDX,17 Feb 2023,819,6242.6,-
FUTIDX,20 Feb 2023,480,3682.92,-
FUTCOM,20 Feb 2023,306505,1242655.18,-
OPTFUT,20 Feb 2023,488991,2305036.64,-
OPTFUT,21 Feb 2023,581153,3148074.9,-
FUTIDX,21 Feb 2023,803,6153.18,-
FUTCOM,21 Feb 2023,481407,1936169.05,-
OPTFUT,22 Feb 2023,516154,2953736.96,-
FUTCOM,22 Feb 2023,468797,1751169.65,-
FUTIDX,22 Feb 2023,729,5587.33,-
FUTCOM,23 Feb 2023,463683,1939528.49,-
OPTFUT,23 Feb 2023,489496,2669181.45,-
FUTIDX,23 Feb 2023,654,4972.72,-
FUTIDX,24 Feb 2023,468,3530.46,-
FUTCOM,24 Feb 2023,502402,2175765.53,-
OPTFUT,24 Feb 2023,623345,3660028.73,-
FUTIDX,27 Feb 2023,319,2390.57,-
FUTCOM,27 Feb 2023,395168,1705274.14,-
OPTFUT,27 Feb 2023,593394,3417692.23,-
FUTCOM,28 Feb 2023,419589,1760098.49,-
OPTFUT,28 Feb 2023,568081,3447647.14,-
FUTIDX,28 Feb 2023,585,4390.18,-
FUTIDX,01 Mar 2023,514,3886.86,-
FUTCOM,01 Mar 2023,447416,1855077.51,-
OPTFUT,01 Mar 2023,733886,4432639.75,-
OPTFUT,02 Mar 2023,595660,3532062.74,-
FUTCOM,02 Mar 2023,390046,1726473.83,-
FUTIDX,02 Mar 2023,399,3010.18,-
FUTCOM,03 Mar 2023,421397,1807573.16,-
OPTFUT,03 Mar 2023,860716,5287673.08,-
FUTIDX,03 Mar 2023,406,3060.72,-
FUTIDX,06 Mar 2023,499,3773.34,-
OPTFUT,06 Mar 2023,788872,4604679.73,-
FUTCOM,06 Mar 2023,356990,1569073.25,-
FUTIDX,07 Mar 2023,653,4877.65,-
OPTFUT,07 Mar 2023,695048,4466033.82,-
FUTCOM,07 Mar 2023,401057,1503797.7,-
OPTFUT,08 Mar 2023,922487,5679103.14,-
FUTCOM,08 Mar 2023,425493,1693374.33,-
FUTIDX,08 Mar 2023,317,2344.31,-
OPTFUT,09 Mar 2023,963246,5916598.05,-
FUTCOM,09 Mar 2023,411669,1642837.59,-
FUTIDX,09 Mar 2023,420,3114.58,-
OPTFUT,10 Mar 2023,1298540,8180237.36,-
FUTIDX,10 Mar 2023,806,6046.45,-
FUTCOM,10 Mar 2023,658968,2458187.78,-
FUTIDX,13 Mar 2023,1337,10287.32,-
OPTFUT,13 Mar 2023,1837693,11621631.07,-
FUTCOM,13 Mar 2023,902757,3554724.42,-
FUTCOM,14 Mar 2023,608297,2270630.53,-
FUTIDX,14 Mar 2023,974,7578.16,-
OPTFUT,14 Mar 2023,1601544,9777941.09,-
FUTCOM,15 Mar 2023,811586,3111098.99,-
FUTIDX,15 Mar 2023,1188,9330.83,-
OPTFUT,15 Mar 2023,2318877,13728233.83,-
FUTIDX,16 Mar 2023,718,5636.24,-
FUTCOM,16 Mar 2023,670302,2443882.5,-
OPTFUT,16 Mar 2023,1089480,6161901.24,-
OPTFUT,17 Mar 2023,799051,4642108.47,-
FUTIDX,17 Mar 2023,925,7338.46,-
FUTCOM,17 Mar 2023,675963,2384618.83,-
FUTCOM,20 Mar 2023,696482,2640442.45,-
OPTFUT,20 Mar 2023,849281,4811894.78,-
FUTIDX,20 Mar 2023,893,7205.28,-
FUTCOM,21 Mar 2023,570675,2163499.23,-
OPTFUT,21 Mar 2023,823629,4388599.73,-
FUTIDX,21 Mar 2023,777,6208.61,-
OPTFUT,22 Mar 2023,682548,3504394.38,-
FUTCOM,22 Mar 2023,494329,1756235.95,-
FUTIDX,22 Mar 2023,417,3321.72,-
OPTFUT,23 Mar 2023,752878,4272691.3,-
FUTIDX,23 Mar 2023,711,5728.53,-
FUTCOM,23 Mar 2023,539438,2299382.84,-
FUTCOM,24 Mar 2023,662473,2643316.26,-
FUTIDX,24 Mar 2023,881,7140.07,-
OPTFUT,24 Mar 2023,848943,5783188.31,-
FUTIDX,27 Mar 2023,759,6083.65,-
FUTCOM,27 Mar 2023,457219,2014757.83,-
OPTFUT,27 Mar 2023,565994,3756277.7,-
FUTCOM,28 Mar 2023,441053,1738788.87,-
OPTFUT,28 Mar 2023,507507,2960502.01,-
FUTIDX,28 Mar 2023,363,2907.34,-
FUTCOM,29 Mar 2023,412866,1911556.89,-
OPTFUT,29 Mar 2023,503805,2883391.49,-
FUTIDX,29 Mar 2023,385,3093.63,-
OPTFUT,30 Mar 2023,339944,1974235.96,-
FUTCOM,30 Mar 2023,359926,1328683.88,-
FUTIDX,30 Mar 2023,379,3062.5,-
FUTCOM,31 Mar 2023,474561,1797374.1,-
FUTIDX,31 Mar 2023,437,3541.65,-
OPTFUT,31 Mar 2023,573384,3246933.07,-
FUTCOM,03 Apr 2023,529824,1971733.94,-
FUTIDX,03 Apr 2023,644,5216.28,-
OPTFUT,03 Apr 2023,769883,4747066.42,-
FUTIDX,04 Apr 2023,706,5808.15,-
FUTCOM,04 Apr 2023,485109,1698079.15,-
OPTFUT,04 Apr 2023,635325,4019178.9,-
FUTIDX,05 Apr 2023,592,4908.2,-
OPTFUT,05 Apr 2023,720781,4492145.87,-
FUTCOM,05 Apr 2023,561470,1983794.27,-
FUTIDX,06 Apr 2023,362,2984.48,-
OPTFUT,06 Apr 2023,644448,3900759.85,-
FUTCOM,06 Apr 2023,456114,1698885.71,-
FUTCOM,10 Apr 2023,445791,1614488.36,-
OPTFUT,10 Apr 2023,808977,4843056.12,-
FUTIDX,10 Apr 2023,402,3298.12,-
FUTCOM,11 Apr 2023,483052,1721488.03,-
FUTIDX,11 Apr 2023,467,3849.48,-
OPTFUT,11 Apr 2023,979089,5785249.75,-
FUTCOM,12 Apr 2023,654296,2430762.25,-
FUTIDX,12 Apr 2023,696,5774.47,-
OPTFUT,12 Apr 2023,1135524,6975700.04,-
OPTFUT,13 Apr 2023,1149990,7074808.45,-
FUTCOM,13 Apr 2023,516243,1911035.08,-
FUTIDX,13 Apr 2023,625,5218.28,-
FUTIDX,14 Apr 2023,680,5639.91,-
OPTFUT,14 Apr 2023,1173567,7256475.63,-
FUTCOM,14 Apr 2023,529740,1962278.29,-
FUTCOM,17 Apr 2023,588783,2114438.19,-
OPTFUT,17 Apr 2023,1031583,5611563.0,-
FUTIDX,17 Apr 2023,671,5528.24,-
FUTIDX,18 Apr 2023,603,4971.24,-
FUTCOM,18 Apr 2023,545564,1969230.38,-
OPTFUT,18 Apr 2023,799619,3441366.06,-
FUTCOM,19 Apr 2023,693708,2804657.68,-
FUTIDX,19 Apr 2023,964,7910.03,-
OPTFUT,19 Apr 2023,896594,4416675.68,-
FUTIDX,20 Apr 2023,690,5701.76,-
OPTFUT,20 Apr 2023,938180,4214437.28,-
FUTCOM,20 Apr 2023,578292,2182184.89,-
FUTIDX,21 Apr 2023,858,7039.04,-
FUTCOM,21 Apr 2023,653494,2582875.95,-
OPTFUT,21 Apr 2023,691606,3844926.72,-
FUTIDX,24 Apr 2023,639,5226.22,-
OPTFUT,24 Apr 2023,545332,3518558.67,-
FUTCOM,24 Apr 2023,501842,1914943.33,-
FUTIDX,25 Apr 2023,770,6295.83,-
FUTCOM,25 Apr 2023,622934,2459828.65,-
OPTFUT,25 Apr 2023,643479,4618463.51,-
OPTFUT,26 Apr 2023,713022,4443078.71,-
FUTIDX,26 Apr 2023,832,6821.67,-
FUTCOM,26 Apr 2023,544976,2181728.48,-
FUTIDX,27 Apr 2023,700,5720.05,-
FUTCOM,27 Apr 2023,596519,2438697.95,-
OPTFUT,27 Apr 2023,623628,3649165.83,-
FUTIDX,28 Apr 2023,467,3811.39,-
